nohup: ignoring input
[env] device=cuda cuda=True
[optim] Using AdamW, base lr=0.0003
Epoch 4 It 100/4492 | lr=0.000151135 | loss=2213.0420
Epoch 4 It 200/4492 | lr=0.000152248 | loss=488.8499
Epoch 4 It 300/4492 | lr=0.000153362 | loss=607.2208
Epoch 4 It 400/4492 | lr=0.000154475 | loss=348.8031
Epoch 4 It 500/4492 | lr=0.000155588 | loss=6893.1460
Epoch 4 It 600/4492 | lr=0.000156701 | loss=555.5196
Epoch 4 It 700/4492 | lr=0.000157814 | loss=636.5471
Epoch 4 It 800/4492 | lr=0.000158927 | loss=2155.2168
Epoch 4 It 900/4492 | lr=0.00016004 | loss=623.3187
Epoch 4 It 1000/4492 | lr=0.000161153 | loss=3241.8181
Epoch 4 It 1100/4492 | lr=0.000162266 | loss=2288.4480
Epoch 4 It 1200/4492 | lr=0.000163379 | loss=1263.5190
Epoch 4 It 1300/4492 | lr=0.000164492 | loss=3586.1716
Epoch 4 It 1400/4492 | lr=0.000165606 | loss=617.6290
Epoch 4 It 1500/4492 | lr=0.000166719 | loss=6396.4575
Epoch 4 It 1600/4492 | lr=0.000167832 | loss=12253.6143
Epoch 4 It 1700/4492 | lr=0.000168945 | loss=1365.0282
Epoch 4 It 1800/4492 | lr=0.000170058 | loss=1639.1899
Epoch 4 It 1900/4492 | lr=0.000171171 | loss=3047.4639
Epoch 4 It 2000/4492 | lr=0.000172284 | loss=1382.6207
Epoch 4 It 2100/4492 | lr=0.000173397 | loss=657.5383
Epoch 4 It 2200/4492 | lr=0.00017451 | loss=863.4202
Epoch 4 It 2300/4492 | lr=0.000175623 | loss=582.4387
Epoch 4 It 2400/4492 | lr=0.000176736 | loss=2324.6392
Epoch 4 It 2500/4492 | lr=0.00017785 | loss=991.9899
Epoch 4 It 2600/4492 | lr=0.000178963 | loss=1527.1804
Epoch 4 It 2700/4492 | lr=0.000180076 | loss=3710.6477
Epoch 4 It 2800/4492 | lr=0.000181189 | loss=876.8858
Epoch 4 It 2900/4492 | lr=0.000182302 | loss=546.8824
Epoch 4 It 3000/4492 | lr=0.000183415 | loss=311.6946
Epoch 4 It 3100/4492 | lr=0.000184528 | loss=2318.4285
Epoch 4 It 3200/4492 | lr=0.000185641 | loss=3264.3625
Epoch 4 It 3300/4492 | lr=0.000186754 | loss=1773.0222
Epoch 4 It 3400/4492 | lr=0.000187867 | loss=284.2308
Epoch 4 It 3500/4492 | lr=0.00018898 | loss=1784.7389
Epoch 4 It 3600/4492 | lr=0.000190093 | loss=640.2451
Epoch 4 It 3700/4492 | lr=0.000191207 | loss=503.1198
Epoch 4 It 3800/4492 | lr=0.00019232 | loss=824.8865
Epoch 4 It 3900/4492 | lr=0.000193433 | loss=1783.5712
Epoch 4 It 4000/4492 | lr=0.000194546 | loss=2192.6658
Epoch 4 It 4100/4492 | lr=0.000195659 | loss=1423.1163
Epoch 4 It 4200/4492 | lr=0.000196772 | loss=468.3438
Epoch 4 It 4300/4492 | lr=0.000197885 | loss=980.0350
Epoch 4 It 4400/4492 | lr=0.000198998 | loss=979.2675
[epoch 4] train_loss=2061.6342 train_mae=18.0053
[ckpt] saved checkpoints_single/ctcf_ep4.pt
Epoch 5 It 0/4492 | lr=0.000200022 | loss=2211.9927
Epoch 5 It 100/4492 | lr=0.000201135 | loss=1342.7670
Epoch 5 It 200/4492 | lr=0.000202248 | loss=449.8810
Epoch 5 It 300/4492 | lr=0.000203362 | loss=3019.1411
Epoch 5 It 400/4492 | lr=0.000204475 | loss=1431.3977
Epoch 5 It 500/4492 | lr=0.000205588 | loss=1374.4657
Epoch 5 It 600/4492 | lr=0.000206701 | loss=886.9898
Epoch 5 It 700/4492 | lr=0.000207814 | loss=1575.2373
Epoch 5 It 800/4492 | lr=0.000208927 | loss=1536.8098
Epoch 5 It 900/4492 | lr=0.00021004 | loss=742.6713
Epoch 5 It 1000/4492 | lr=0.000211153 | loss=486.4695
Epoch 5 It 1100/4492 | lr=0.000212266 | loss=864.2187
Epoch 5 It 1200/4492 | lr=0.000213379 | loss=1311.3108
Epoch 5 It 1300/4492 | lr=0.000214492 | loss=437.2589
Epoch 5 It 1400/4492 | lr=0.000215606 | loss=2639.5034
Epoch 5 It 1500/4492 | lr=0.000216719 | loss=779.7131
Epoch 5 It 1600/4492 | lr=0.000217832 | loss=837.1446
Epoch 5 It 1700/4492 | lr=0.000218945 | loss=1157.1824
Epoch 5 It 1800/4492 | lr=0.000220058 | loss=2599.1262
Epoch 5 It 1900/4492 | lr=0.000221171 | loss=2773.4329
Epoch 5 It 2000/4492 | lr=0.000222284 | loss=1013.9658
Epoch 5 It 2100/4492 | lr=0.000223397 | loss=2445.5317
Epoch 5 It 2200/4492 | lr=0.00022451 | loss=764.7336
Epoch 5 It 2300/4492 | lr=0.000225623 | loss=1126.0299
Epoch 5 It 2400/4492 | lr=0.000226736 | loss=913.2612
Epoch 5 It 2500/4492 | lr=0.00022785 | loss=1115.3490
Epoch 5 It 2600/4492 | lr=0.000228963 | loss=1151.0911
Epoch 5 It 2700/4492 | lr=0.000230076 | loss=1170.3531
Epoch 5 It 2800/4492 | lr=0.000231189 | loss=2040.3491
Epoch 5 It 2900/4492 | lr=0.000232302 | loss=1774.8251
Epoch 5 It 3000/4492 | lr=0.000233415 | loss=619.1268
Epoch 5 It 3100/4492 | lr=0.000234528 | loss=570.2487
Epoch 5 It 3200/4492 | lr=0.000235641 | loss=1091.7333
Epoch 5 It 3300/4492 | lr=0.000236754 | loss=1884.2324
Epoch 5 It 3400/4492 | lr=0.000237867 | loss=1376.5647
Epoch 5 It 3500/4492 | lr=0.00023898 | loss=1428.8069
